archivo,metodo,n_sensores,frecuencia,variables,rmse_T,rmse_p,rmse_tau,rmse_total,tiempo
kf_25_obs_5_freq_150_var_st.pkl,kf,5,150,st,0.08766399829454931,0.04037855691873725,0.2637284576291606,0.13059033761414904,0.005383491516113281
4dvar_25_obs_20_freq_300_var_s.pkl,4dvar,20,300,s,0.06291754838562823,0.04037855691873725,0.2637284576213507,0.12234152097523872,22.11885356903076
enkf_25_obs_5_freq_300_var_st.pkl,enkf,5,300,st,0.08803777548099485,0.04037855691873719,0.2637284576213507,0.13071493000702758,0.029179811477661133
4dvar_25_obs_5_freq_300_var_s.pkl,4dvar,5,300,s,0.06697769522875617,0.04037855691873725,0.2637284576213507,0.12369490325628137,21.913532733917236
kf_25_obs_20_freq_300_var_p.pkl,kf,20,300,p,0.08803615470068074,0.040381057414772,0.26372835606180395,0.13071518939241888,0.044783830642700195
nudging_25_obs_5_freq_150_var_s.pkl,nudging,5,150,s,0.08803777548099485,0.04037855691873725,0.26372846543921336,0.1307149326129818,0.0015072822570800781
4dvar_25_obs_5_freq_70_var_p.pkl,4dvar,5,70,p,0.06791649929528272,0.04037855691873725,0.2637284576213507,0.12400783794512356,22.1518292427063
kf_25_obs_20_freq_70_var_pst.pkl,kf,20,70,pst,0.0867236667039486,0.04037913937599775,0.26372843381992833,0.13027707996662488,0.030102968215942383
enkf_25_obs_20_freq_70_var_t.pkl,enkf,20,70,t,0.08803777548099485,0.04037855691873719,0.2637284576213507,0.13071493000702758,0.01136326789855957
4dvar_25_obs_10_freq_300_var_s.pkl,4dvar,10,300,s,0.06708985616046846,0.04037855691873725,0.2637284576213507,0.1237322902335188,28.51628875732422
kf_25_obs_20_freq_150_var_st.pkl,kf,20,150,st,0.08527002552603732,0.04037855691873725,0.26372845764290465,0.12979234669589307,0.03525376319885254
nudging_25_obs_5_freq_70_var_p.pkl,nudging,5,70,p,0.08800735271353498,0.04045837308700965,0.2637280191857336,0.1307312483287594,0.0008602142333984375
kf_25_obs_10_freq_300_var_p.pkl,kf,10,300,p,0.08803704299635148,0.04037956089991772,0.2637284560827183,0.1307150199929958,0.009667396545410156
nudging_25_obs_10_freq_70_var_p.pkl,nudging,10,70,p,0.08790049887888342,0.04060725005498021,0.26372855850254867,0.13074543581213743,0.0009360313415527344
enkf_25_obs_20_freq_150_var_t.pkl,enkf,20,150,t,0.08803777548099485,0.04037855691873719,0.2637284576213507,0.13071493000702758,0.022910594940185547
