archivo,metodo,res,n_sensores,frecuencia,variables,rmse_T,rmse_p,rmse_tau,rmse_u,rmse_v,rmse_total_normalizado,tiempo
kf_25_obs_10_freq_150_var_st.pkl,kf,25,10,150,st,0.08961123314931374,522.1458244278508,2.723935745345877,0.563941853357432,0.06406634283392976,278.63011198708654,0.03218245506286621
kf_25_obs_10_freq_70_var_pst.pkl,kf,25,10,70,pst,0.08944518093696859,520.4136461986245,2.7283781229250663,0.5565911652049003,0.07816500932746175,278.20498528272043,0.007155418395996094
4dvar_25_obs_5_freq_150_var_pt.pkl,4dvar,25,5,150,pt,0.0902573645832541,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.63190442444136,27.1459059715271
nudging_25_obs_20_freq_300_var_pst.pkl,nudging,25,20,300,pst,0.08915763022797406,520.0423292775818,2.7275658388744466,0.5584157125740831,0.07616549134650251,278.03897213312325,0.009466409683227539
enkf_25_obs_5_freq_300_var_p.pkl,enkf,25,5,300,p,0.09039612290839541,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.63228938302035,0.023110628128051758
nudging_25_obs_5_freq_300_var_p.pkl,nudging,25,5,300,p,0.09036721543340802,521.9368569265721,2.7249899296245585,0.5620579073553099,0.06429283436544855,278.59355948268114,0.0030155181884765625
kf_25_obs_20_freq_150_var_s.pkl,kf,25,20,150,s,0.09039612290839541,522.1458244278508,2.7239357651666305,0.563941853357432,0.06406634283392976,278.6322901851392,0.01834869384765625
4dvar_25_obs_5_freq_150_var_p.pkl,4dvar,25,5,150,p,0.0902573645832541,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.63190442444136,28.421409368515015
4dvar_25_obs_20_freq_150_var_p.pkl,4dvar,25,20,150,p,0.08898831132751985,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.628383677578,27.78085207939148
kf_25_obs_10_freq_150_var_s.pkl,kf,25,10,150,s,0.09039612290839541,522.1458244278508,2.723935745345877,0.563941853357432,0.06406634283392976,278.63228951442426,0.005716562271118164
4dvar_25_obs_10_freq_70_var_s.pkl,4dvar,25,10,70,s,0.0896625254808467,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.63025415649986,27.455547332763672
nudging_25_obs_10_freq_300_var_st.pkl,nudging,25,10,300,st,0.08974596244332918,522.1458244278508,2.7239357412142224,0.563941853357432,0.06406634283392976,278.6304856280739,0.0052204132080078125
4dvar_25_obs_10_freq_150_var_p.pkl,4dvar,25,10,150,p,0.08967425093493903,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.63028668654187,28.484817266464233
enkf_25_obs_20_freq_150_var_pst.pkl,enkf,25,20,150,pst,0.09039612290839541,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.63228938302035,0.06931376457214355
nudging_25_obs_20_freq_300_var_pt.pkl,nudging,25,20,300,pt,0.08915763022797406,520.0423292775818,2.7275658363960082,0.5584157125740831,0.07616549134650251,278.0389720492553,0.0071108341217041016
enkf_25_obs_10_freq_300_var_t.pkl,enkf,25,10,300,t,0.09039612290839541,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.63228938302035,0.026401519775390625
kf_25_obs_5_freq_150_var_pt.pkl,kf,25,5,150,pt,0.09007113307604055,521.1586724437077,2.72967724788911,0.5561006005263508,0.07605147749409358,278.50902948645387,0.005397796630859375
enkf_25_obs_5_freq_300_var_s.pkl,enkf,25,5,300,s,0.09039612290839541,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.63228938302035,0.0158994197845459
nudging_25_obs_20_freq_70_var_pt.pkl,nudging,25,20,70,pt,0.08920196313680745,521.5710115583853,2.724806578830427,0.5622558192760172,0.06466804443362524,278.4551773226889,0.0019207000732421875
enkf_25_obs_5_freq_300_var_pt.pkl,enkf,25,5,300,pt,0.09039612290839541,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.63228938302035,0.029966354370117188
nudging_25_obs_5_freq_300_var_s.pkl,nudging,25,5,300,s,0.09039612290839541,522.1458244278508,2.723935741524987,0.563941853357432,0.06406634283392976,278.63228938512907,0.0026373863220214844
