archivo,metodo,n_sensores,frecuencia,variables,rmse_T,rmse_p,rmse_tau,rmse_total,tiempo
nudging_25x25_obs_20_freq_300_var_pt.pkl,nudging,20,300,pt,0.0927109134337465,0.0423905197004541,0.2636736730925667,0.1329250354089224,0.0063328742980957
4dvar_25x25_obs_10_freq_70_var_t.pkl,4dvar,10,70,t,0.1197616922867131,0.0403785569187372,0.2637284576213507,0.141289568942267,28.04929542541504
nudging_25x25_obs_20_freq_70_var_t.pkl,nudging,20,70,t,0.0921324663241694,0.0403785569187372,0.2637284576213507,0.1320798269547524,0.0011293888092041
kf_25x25_obs_10_freq_300_var_t.pkl,kf,10,300,t,0.0880353285895678,0.0403785569187372,0.2637284576213507,0.1307141143765519,0.0108969211578369
4dvar_25x25_obs_20_freq_300_var_pst.pkl,4dvar,20,300,pst,0.1107262101426383,0.0403785569187372,0.2637284576213507,0.1382777415609087,27.381636381149292
nudging_25x25_obs_10_freq_150_var_p.pkl,nudging,10,150,p,0.0878227722675553,0.040858078833718,0.2637299166666632,0.1308035892559788,0.0014572143554687
enkf_25x25_obs_5_freq_300_var_pst.pkl,enkf,5,300,pst,0.0880377754809948,0.0403785569187371,0.2637284576213507,0.1307149300070275,0.0417978763580322
enkf_25x25_obs_10_freq_300_var_pst.pkl,enkf,10,300,pst,0.0880377754809948,0.0403785569187371,0.2637284576213507,0.1307149300070275,0.0737586021423339
4dvar_25x25_obs_5_freq_150_var_t.pkl,4dvar,5,150,t,0.0997164232450402,0.0403785569187372,0.2637284576213507,0.1346078125950427,26.949270009994507
4dvar_25x25_obs_20_freq_150_var_t.pkl,4dvar,20,150,t,0.0973670097507644,0.0403785569187372,0.2637284576213507,0.1338246747636174,28.65143847465515
nudging_25x25_obs_10_freq_70_var_p.pkl,nudging,10,70,p,0.0879004999173509,0.0406072562365179,0.2637285585941311,0.1307454382493333,0.0007812976837158
enkf_25x25_obs_20_freq_70_var_s.pkl,enkf,20,70,s,0.0880377754809948,0.0403785569187371,0.2637284576213507,0.1307149300070275,0.0097143650054931
nudging_25x25_obs_10_freq_150_var_pst.pkl,nudging,10,150,pst,0.092534858877429,0.040858078833718,0.2637300321442102,0.1323743232851191,0.0050413608551025
kf_25x25_obs_5_freq_300_var_pst.pkl,kf,5,300,pst,0.0880378270501499,0.0403789008839696,0.2637284551033146,0.130715061012478,0.0137033462524414
nudging_25x25_obs_10_freq_300_var_st.pkl,nudging,10,300,st,0.095619862151751,0.0403785569187372,0.2637286543339325,0.1332423578014736,0.004875898361206
kf_25x25_obs_5_freq_300_var_pt.pkl,kf,5,300,pt,0.0880378270501499,0.0403789008839696,0.2637284550057157,0.1307150609799451,0.010829210281372
4dvar_25x25_obs_10_freq_150_var_t.pkl,4dvar,10,150,t,0.0976375111502309,0.0403785569187372,0.2637284576213507,0.1339148418967729,47.47989892959595
nudging_25x25_obs_5_freq_150_var_s.pkl,nudging,5,150,s,0.0880377754809948,0.0403785569187372,0.2637285157777516,0.1307149493924946,0.0014846324920654
4dvar_25x25_obs_20_freq_70_var_s.pkl,4dvar,20,70,s,0.1179598926818675,0.0403785569187372,0.2637284576213507,0.1406889690739851,28.17706298828125
nudging_25x25_obs_5_freq_150_var_pt.pkl,nudging,5,150,pt,0.0946624134992642,0.0405477161064655,0.2637279403044845,0.1329793566367381,0.0024006366729736
enkf_25x25_obs_5_freq_70_var_t.pkl,enkf,5,70,t,0.0880377754809948,0.0403785569187371,0.2637284576213507,0.1307149300070275,0.0040240287780761
nudging_25x25_obs_20_freq_150_var_p.pkl,nudging,20,150,p,0.0877199455536989,0.0415029611459079,0.2636911479307881,0.130971351543465,0.0021836757659912
4dvar_25x25_obs_5_freq_300_var_st.pkl,4dvar,5,300,st,0.1019575235161493,0.0403785569187372,0.2637284576213507,0.1353548460187457,29.18126225471497
enkf_25x25_obs_5_freq_150_var_t.pkl,enkf,5,150,t,0.0880377754809948,0.0403785569187371,0.2637284576213507,0.1307149300070275,0.0082905292510986
kf_25x25_obs_20_freq_300_var_t.pkl,kf,20,300,t,0.0880350999521586,0.0403785569187372,0.2637284576213507,0.1307140381640822,0.053964614868164
4dvar_25x25_obs_5_freq_70_var_p.pkl,4dvar,5,70,p,0.1089722039213204,0.0403785569187372,0.2637284576213507,0.1376930728204694,26.901690006256104
